기준월,토픽ID,토픽명,제목,날짜,URL
2022-11,토픽1,은행·금융권 소상공인 지원,돈 덜 빌려도 될줄 알았는데 올해 中企 대출 44兆 증가,2022-11-04,https://view.asiae.co.kr/article/2022110409233977769
2022-11,토픽1,은행·금융권 소상공인 지원,"""좀비기업 증가"" 기업대출 금리, 가계대출보다 높아져",2022-11-30,https://view.asiae.co.kr/article/2022112914331482677
2022-11,토픽2,코로나 방역·지자체 행정,"강기정 광주시장 ""버팀목 디딤돌 역할로 기회 도시 여정에 속도 낼 것""",2022-11-28,https://view.asiae.co.kr/article/2022112815291407922
2022-11,토픽2,코로나 방역·지자체 행정,"경북도, 내년도 예산안 12조821억 편성  올해보다 7.4% 증액",2022-11-10,https://view.asiae.co.kr/article/2022111015364453389
2022-11,토픽2,코로나 방역·지자체 행정,"세종시, 착한임대인 재산세 ‘6300만원’ 감면",2022-11-15,https://view.asiae.co.kr/article/2022111510520155199
2022-11,토픽2,코로나 방역·지자체 행정,"충남, 내년 본예산 9.8조원 편성 올해보다 5.4%↑",2022-11-04,https://view.asiae.co.kr/article/2022110413430638000
2022-11,토픽2,코로나 방역·지자체 행정,"박완수 경남지사 “우주항공청 관련 법안, 연내 마련할 것”",2022-11-30,https://view.asiae.co.kr/article/2022113015285272099
2022-11,토픽3,최저임금·노사 협상,"오언석 도봉구청장, 도봉기업 위한 중소기업 현장 대화",2022-11-22,https://view.asiae.co.kr/article/2022112207045852651
2022-11,토픽3,최저임금·노사 협상,"[서울의 미래]모종린 교수 ""일하고 살고 노는, 브랜드 동네 만들어야""",2022-11-16,https://view.asiae.co.kr/article/2022111616124359683
2022-11,토픽3,최저임금·노사 협상,"오세훈, 대한상의 등 경제협단체와 연쇄 간담회 기업애로 청취",2022-11-28,https://view.asiae.co.kr/article/2022112807240803841
2022-11,토픽3,최저임금·노사 협상,"중기중앙회, 오세훈 서울시장 초청 간담회 개최",2022-11-29,https://view.asiae.co.kr/article/2022112909170598116
2022-11,토픽3,최저임금·노사 협상,영등포구 ‘문화 1호선’ 추진...왜?,2022-11-21,https://view.asiae.co.kr/article/2022112107325273912
2022-11,토픽4,지역화폐·소비쿠폰,"인천시, 골목상권 활성화에 2억4천만원 지원 12곳 선정",2022-11-14,https://view.asiae.co.kr/article/2022111411555445003
2022-11,토픽4,지역화폐·소비쿠폰,"영광사랑상품권, 내년 1월까지 10% 할인 판매 실시",2022-11-30,https://view.asiae.co.kr/article/2022113013583818289
2022-11,토픽4,지역화폐·소비쿠폰,749억 규모 '서울사랑상품권' 6개구서 추가 발행 12월에도 1000억 규모 발행,2022-11-02,https://view.asiae.co.kr/article/2022110207530744161
2022-11,토픽4,지역화폐·소비쿠폰,100억 규모 성동사랑상품권 발행... 100억 규모 광진사랑상품권 발행,2022-11-24,https://view.asiae.co.kr/article/2022112407354319284
2022-11,토픽4,지역화폐·소비쿠폰,"함양군, 경남서 유일 지역상권 활성화 공모사업 선정  5년간 최대 60억원 지원받아",2022-11-24,https://view.asiae.co.kr/article/2022112419070478744
2022-11,토픽5,물가·민생 거시대책,"중기부, 복합위기 장기화 대응 위한 긴급회의",2022-11-03,https://view.asiae.co.kr/article/2022110315062776966
2022-11,토픽5,물가·민생 거시대책,"국회 산자위, 납품단가연동제 한전채 발행 확대법 통과",2022-11-24,https://view.asiae.co.kr/article/2022112417312726358
2022-11,토픽5,물가·민생 거시대책,"중기부, 복합위기 장기화 대응 TF 2차 전체회의",2022-11-28,https://view.asiae.co.kr/article/2022112808535494834
2022-11,토픽5,물가·민생 거시대책,광주 서구 ‘풍수해보험’ 가입 당부 보험료 최대 92% 지원,2022-11-02,https://view.asiae.co.kr/article/2022110215272581744
2022-11,토픽5,물가·민생 거시대책,코로나19 유행으로 소비 고용 악화 의료이용도 ↓,2022-11-28,https://view.asiae.co.kr/article/2022112811485489414
2022-11,토픽6,온라인 플랫폼·디지털 지원,"페이히어, 포스와 실시간 연동 테이블 오더 웨이팅 출시",2022-11-30,https://view.asiae.co.kr/article/2022113008240481728
2022-11,토픽6,온라인 플랫폼·디지털 지원,"카카오페이, 중국서 결제 서비스 시작한다",2022-11-07,https://view.asiae.co.kr/article/2022110714585622082
2022-11,토픽6,온라인 플랫폼·디지털 지원,"BC카드, 유니온페이와 맞손 국내 소상공인 대상 글로벌 결제 서비스",2022-11-15,https://view.asiae.co.kr/article/2022111509323873881
2022-11,토픽6,온라인 플랫폼·디지털 지원,"롯데온, 슈퍼서울위크 참여 인기 상품 최대 20% 할인",2022-11-11,https://view.asiae.co.kr/article/2022111017163021215
2022-11,토픽6,온라인 플랫폼·디지털 지원,"카카오, 전국 10개 전통시장서 ‘우리동네 단골시장 프로젝트’",2022-11-09,https://view.asiae.co.kr/article/2022110910002227326
2022-11,토픽7,상생협력·중소기업 지원,"롯데온, '동반성장 유공 포상' 중기부 장관표창",2022-11-16,https://view.asiae.co.kr/article/2022111615175213632
2022-11,토픽7,상생협력·중소기업 지원,"경기도일자리재단, 올해의 SNS '인스타그램' 비영리부문 최우수상",2022-11-21,https://view.asiae.co.kr/article/2022112114092311446
2022-11,토픽7,상생협력·중소기업 지원,'대한민국 소상공인대회' 내달 2~3일 개최 올해 주제는 혁신 성장,2022-11-30,https://view.asiae.co.kr/article/2022113015191312031
2022-11,토픽7,상생협력·중소기업 지원,"소진공, 전통시장에 ESG경영 도입 친환경 종이테이프 배포",2022-11-25,https://view.asiae.co.kr/article/2022112510032141396
2022-11,토픽7,상생협력·중소기업 지원,"중기벤처연, 근로복지공단 한국테크노파크진흥회와 3자 협약 체결",2022-11-24,https://view.asiae.co.kr/article/2022112416390974439
2022-12,토픽0,정치권 재난·위기 재정대응,"""법정 기한 후 3주"" 국회 예산안 처리 '최장 지각'",2022-12-24,https://view.asiae.co.kr/article/2022122400042867806
2022-12,토픽0,정치권 재난·위기 재정대응,"尹 ""자유민주주의서 '자유 삭제' 주장하는 대규모 세력 존재""",2022-12-21,https://view.asiae.co.kr/article/2022122118582039537
2022-12,토픽0,정치권 재난·위기 재정대응,“8시간 추가연장근로제로 겨우 버틴다” 中企인 100여명 국회서 성토,2022-12-08,https://view.asiae.co.kr/article/2022120721121067371
2022-12,토픽0,정치권 재난·위기 재정대응,"김동연 지사 ""이번 국회예산 보면 부끄럽다 정치적 흥정 개탄""",2022-12-24,https://view.asiae.co.kr/article/2022122414012327918
2022-12,토픽0,정치권 재난·위기 재정대응,"우원식 '분당 우려' 박영선에 ""사리사욕 아닌지 걱정""",2022-12-06,https://view.asiae.co.kr/article/2022120608290126186
2022-12,토픽1,은행·금융권 소상공인 지원,"한용구 신한은행장 ""中企등 취약차주 연착륙 지원 역할""",2022-12-30,https://view.asiae.co.kr/article/2022123012131808291
2022-12,토픽1,은행·금융권 소상공인 지원,운전 노란우산공제 정보 등 활용 우리銀 취약차주 위해 대안신용평가 고도화,2022-12-13,https://view.asiae.co.kr/article/2022121310273946309
2022-12,토픽1,은행·금융권 소상공인 지원,"카카오뱅크, 아름다운재단에 1억 5000만원 기부",2022-12-16,https://view.asiae.co.kr/article/2022121610143768506
2022-12,토픽1,은행·금융권 소상공인 지원,"""핀테크 혁신펀드 규모 1兆로 지원 활성화 방안 마련""",2022-12-20,https://view.asiae.co.kr/article/2022122014485283236
2022-12,토픽1,은행·금융권 소상공인 지원,"[대출? 갈아타!]③정책금융 대환대출, 실효성 논란...자영업자 등골 휜다",2022-12-27,https://view.asiae.co.kr/article/2022122610364866962
2022-12,토픽2,코로나 방역·지자체 행정,"이강덕 포항시장, 내년 시정 ‘세계로 도약하는 환동해 중심도시 포항’ 역점",2022-12-08,https://view.asiae.co.kr/article/2022120815422147530
2022-12,토픽2,코로나 방역·지자체 행정,"중랑구, 개청 이래 최초 예산 1조원 시대 열어",2022-12-01,https://view.asiae.co.kr/article/2022120107175392918
2022-12,토픽2,코로나 방역·지자체 행정,광주 광산구의회 ‘2023년 예산안’ 심사 돌입,2022-12-12,https://view.asiae.co.kr/article/2022121217342732855
2022-12,토픽2,코로나 방역·지자체 행정,"광주 서구, 내년 추진 과제 16개 선정 최종 목표 ‘주민 행복’",2022-12-28,https://view.asiae.co.kr/article/2022122815310873258
2022-12,토픽2,코로나 방역·지자체 행정,"[신년사]유성훈 금천구청장 ""도약의 한 해 될 것""",2022-12-31,https://view.asiae.co.kr/article/2022123111241655305
2022-12,토픽3,최저임금·노사 협상,"서울시, 상가임대차분쟁 '임차인 지침서' 상담사례집 발간",2022-12-21,https://view.asiae.co.kr/article/2022122107351915461
2022-12,토픽3,최저임금·노사 협상,"김동연 지사 ""정부 반(反)노동정책 심각한 우려""",2022-12-15,https://view.asiae.co.kr/article/2022121507200109328
2022-12,토픽3,최저임금·노사 협상,[인사] 광주 북구,2022-12-29,https://view.asiae.co.kr/article/2022122916051572707
2022-12,토픽3,최저임금·노사 협상,"서울시, 369만 중장년 세대 위해 4600억원 투입",2022-12-20,https://view.asiae.co.kr/article/2022122011085887004
2022-12,토픽3,최저임금·노사 협상,동부간선도로 지하화 환경영향평가 주민설명회 광진구서 열려,2022-12-05,https://view.asiae.co.kr/article/2022120507581028343
2022-12,토픽4,지역화폐·소비쿠폰,"영암군, 영암사랑상품권 380억원 발행",2022-12-30,https://view.asiae.co.kr/article/2022123010263620659
2022-12,토픽4,지역화폐·소비쿠폰,"여수시, 여수사랑상품권 설맞이 ‘10%’ 특별할인 판매",2022-12-27,https://view.asiae.co.kr/article/2022122712584446770
2022-12,토픽4,지역화폐·소비쿠폰,"영광군, 23일까지 ‘영광사랑카드 감사 이벤트’ 실시",2022-12-07,https://view.asiae.co.kr/article/2022120714090877545
2022-12,토픽4,지역화폐·소비쿠폰,“소비 촉진이 경제 살려”  ‘창원e-페스타’ 18만여명 참여 이벤트 종료,2022-12-01,https://view.asiae.co.kr/article/2022120115030243570
2022-12,토픽4,지역화폐·소비쿠폰,"광양시, 착한가격업소에 ‘광양사랑상품권’ 지급",2022-12-06,https://view.asiae.co.kr/article/2022120618251677274
2022-12,토픽5,물가·민생 거시대책,"서울시, 내년부터 4등급 경유차 조기폐차 지원",2022-12-23,https://view.asiae.co.kr/article/2022122307424696634
2022-12,토픽5,물가·민생 거시대책,"위기 외친 경제단체장들 손경식 ""16번""",2022-12-30,https://view.asiae.co.kr/article/2022123009550996704
2022-12,토픽5,물가·민생 거시대책,[초동시각]독일 복덕방 할아버지의 쿠데타,2022-12-20,https://view.asiae.co.kr/article/2022122013105617651
2022-12,토픽5,물가·민생 거시대책,"추경호 ""내년 예산 1월 2일부터 집행 상반기 65% 이상 추진""",2022-12-29,https://view.asiae.co.kr/article/2022122909304744762
2022-12,토픽5,물가·민생 거시대책,美 11월 소기업 낙관지수 91.9 전달보다 개선,2022-12-13,https://view.asiae.co.kr/article/2022121320152176890
2022-12,토픽6,온라인 플랫폼·디지털 지원,"'맛집 검색' 더욱 정교해진다 네이버, 로컬검색 개편",2022-12-09,https://view.asiae.co.kr/article/2022120909390314394
2022-12,토픽6,온라인 플랫폼·디지털 지원,"한진, ‘원클릭 택배서비스’ 누적 고객 5만2000개사 돌파",2022-12-28,https://view.asiae.co.kr/article/2022122809215612299
2022-12,토픽6,온라인 플랫폼·디지털 지원,"KCD, 경기지역경제포털에 전국 소상공인 카드 매출 데이터 공급",2022-12-07,https://view.asiae.co.kr/article/2022120709071415628
2022-12,토픽6,온라인 플랫폼·디지털 지원,네이버파이낸셜 '빠른정산' 월 지급액 1조원 돌파,2022-12-15,https://view.asiae.co.kr/article/2022121510053971204
2022-12,토픽6,온라인 플랫폼·디지털 지원,책 리뷰 스타트업이 ‘800억원 간편식 플랫폼’이 된 이유는?,2022-12-19,https://view.asiae.co.kr/article/2022121907005077474
2022-12,토픽7,상생협력·중소기업 지원,"공영홈쇼핑, 제27회 한국유통대상 국무총리표창 수상",2022-12-16,https://view.asiae.co.kr/article/2022121611433594666
2022-12,토픽7,상생협력·중소기업 지원,"코레일, ‘전통시장 상생활동 최우수기관’ 선정",2022-12-06,https://view.asiae.co.kr/article/2022120613491305369
2022-12,토픽7,상생협력·중소기업 지원,"DMC산학진흥재단-디엠씨코넷, DIC2022 창업경진대회 성료",2022-12-12,https://view.asiae.co.kr/article/2022121208553566178
2022-12,토픽7,상생협력·중소기업 지원,"소진공, 2022년 소상공인 창업 성장주간 개최",2022-12-09,https://view.asiae.co.kr/article/2022120915073876157
2022-12,토픽7,상생협력·중소기업 지원,"배민, '한겨울의 동행축제 윈 윈터 페스티벌' 참여",2022-12-16,https://view.asiae.co.kr/article/2022121609034923600
2023-01,토픽0,정치권 재난·위기 재정대응,"경기도, 4차 미세먼지 계절관리제 시행 첫달 5등급 차량 운행 적발 58% 감소",2023-01-17,https://view.asiae.co.kr/article/2023011708123760392
2023-01,토픽0,정치권 재난·위기 재정대응,"카카오, 소상공인 대상 피해 지원금 지급 절차 시작",2023-01-30,https://view.asiae.co.kr/article/2023013015113298610
2023-01,토픽0,정치권 재난·위기 재정대응,"尹,법무부 공정위 법제처에 ""헌법가치 수호해야""",2023-01-26,https://view.asiae.co.kr/article/2023012610443443660
2023-01,토픽0,정치권 재난·위기 재정대응,"대통령실, 첫 국민제안 보고서 발간 2만4788건 답변",2023-01-12,https://view.asiae.co.kr/article/2023011211415695781
2023-01,토픽0,정치권 재난·위기 재정대응,"""8시간 연장근로 막혀 일감 포기 파산할 위기""",2023-01-09,https://view.asiae.co.kr/article/2023010910205795450
2023-01,토픽1,은행·금융권 소상공인 지원,"NH농협은행 ""중소기업 이자 부담 완화, 적극 지원""",2023-01-26,https://view.asiae.co.kr/article/2023012617180689741
2023-01,토픽1,은행·금융권 소상공인 지원,"성남시, 소상공인에 130억 특례보증 지원",2023-01-27,https://view.asiae.co.kr/article/2023012713254573001
2023-01,토픽1,은행·금융권 소상공인 지원,국내은행 원화 대출 연체율 0.27% 소폭 상승,2023-01-19,https://view.asiae.co.kr/article/2023011915442507258
2023-01,토픽1,은행·금융권 소상공인 지원,'자영업자 신용대출'도 '저금리'로 갈아탄다,2023-01-30,https://view.asiae.co.kr/article/2023013008402300385
2023-01,토픽1,은행·금융권 소상공인 지원,"대전시, 올해 소상공인 경영안정금 2000억원 지원",2023-01-09,https://view.asiae.co.kr/article/2023010908504614546
2023-01,토픽2,코로나 방역·지자체 행정,"새해 첫 도민과의 대화  경남도민, 박완수 지사에 어떤 정책 제언 했나",2023-01-02,https://view.asiae.co.kr/article/2023010217525239902
2023-01,토픽2,코로나 방역·지자체 행정,"김영록 전남지사 ""새해 '전남 대도약' 원년 삼을 것""",2023-01-02,https://view.asiae.co.kr/article/2023010214224359447
2023-01,토픽2,코로나 방역·지자체 행정,[신년사] 이강덕 시장 “창의적 융합 혁신  세계로 도약하는 포항 만들 것”,2023-01-02,https://view.asiae.co.kr/article/2023010216091861032
2023-01,토픽2,코로나 방역·지자체 행정,"송파구, 4만3000개 지속가능한 일자리 만든다",2023-01-08,https://view.asiae.co.kr/article/2023010807222348450
2023-01,토픽2,코로나 방역·지자체 행정,완도군 ‘주요 업무 계획 보고’ 개최,2023-01-17,https://view.asiae.co.kr/article/2023011716014406250
2023-01,토픽3,최저임금·노사 협상,"박강수 마포구청장, 2023 주민간담회 소통열차 본격 운행",2023-01-25,https://view.asiae.co.kr/article/2023012507282529219
2023-01,토픽3,최저임금·노사 협상,성동구 개인정보 파기 서비스 박수 받은 사연?,2023-01-30,https://view.asiae.co.kr/article/2023013007161986047
2023-01,토픽3,최저임금·노사 협상,[인사] 광주광역시 북구,2023-01-05,https://view.asiae.co.kr/article/2023010517103367228
2023-01,토픽3,최저임금·노사 협상,"이영 장관 ""이태원 상권 무너져 진취적 대안 찾을것""",2023-01-12,https://view.asiae.co.kr/article/2023011214541884566
2023-01,토픽3,최저임금·노사 협상,최호권 영등포구청장 소통 강화 '실질적 생활자치' 실현,2023-01-31,https://view.asiae.co.kr/article/2023013107513372059
2023-01,토픽4,지역화폐·소비쿠폰,"화순군, 농어민 공익수당 지원사업 신청 접수",2023-01-11,https://view.asiae.co.kr/article/2023011115000294173
2023-01,토픽4,지역화폐·소비쿠폰,"남원시, 소상공인 상가 환경개선 지원 최대 1000만원",2023-01-30,https://view.asiae.co.kr/article/2023013015270763745
2023-01,토픽4,지역화폐·소비쿠폰,"포항사랑상품권, 새해도 지역 경제에 따뜻한 활력과 희망 전한다!",2023-01-03,https://view.asiae.co.kr/article/2023010313213255028
2023-01,토픽4,지역화폐·소비쿠폰,고흥사랑상품권 10% 특별할인 한다,2023-01-09,https://view.asiae.co.kr/article/2023010916012135426
2023-01,토픽4,지역화폐·소비쿠폰,"보성군, 보성사랑상품권 할인율 10% 유지",2023-01-11,https://view.asiae.co.kr/article/2023011115562178320
2023-01,토픽5,물가·민생 거시대책,지난달 청구된 풍수해보험금 10억8천만원 지급 예정,2023-01-20,https://view.asiae.co.kr/article/2023012013024964309
2023-01,토픽5,물가·민생 거시대책,"이복현 ""부동산 PF 등 리스크 집중 점검 선제 대응""",2023-01-01,https://view.asiae.co.kr/article/2023010111255860807
2023-01,토픽5,물가·민생 거시대책,'설 물가안정' 성수품 최대로 푼다 고속道 통행료 면제,2023-01-04,https://view.asiae.co.kr/article/2023010409020559287
2023-01,토픽5,물가·민생 거시대책,"수원시, 긴급민생안정대책TF 꾸려 단장에 이재준 시장",2023-01-17,https://view.asiae.co.kr/article/2023011715265451798
2023-01,토픽5,물가·민생 거시대책,[뉴욕증시]CPI 대기하며 상승마감 나스닥 1.01%↑,2023-01-11,https://view.asiae.co.kr/article/2023011106372241655
2023-01,토픽6,온라인 플랫폼·디지털 지원,"""전통시장이 대형마트보다 설차례상 비용 5만9000원 저렴""",2023-01-16,https://view.asiae.co.kr/article/2023011609212896385
2023-01,토픽6,온라인 플랫폼·디지털 지원,"서울시 ""설에는 전통시장 '빠른배송'을 만나보세요""",2023-01-11,https://view.asiae.co.kr/article/2023011109434307714
2023-01,토픽6,온라인 플랫폼·디지털 지원,"카카오모빌리티, 도보배송 시장 활성화 나선다",2023-01-30,https://view.asiae.co.kr/article/2023013010225394757
2023-01,토픽6,온라인 플랫폼·디지털 지원,"GS샵, 중소협력사 무료 판매방송 매출 400억원 돌파",2023-01-11,https://view.asiae.co.kr/article/2023011108011534212
2023-01,토픽6,온라인 플랫폼·디지털 지원,피해 보상으로 마케팅? 카카오 먹통 보상 시작부터 논란,2023-01-05,https://view.asiae.co.kr/article/2023010519051883451
2023-01,토픽7,상생협력·중소기업 지원,"중기부, '2023년 로컬크리에이터' 120개팀 모집",2023-01-31,https://view.asiae.co.kr/article/2023013111290486926
2023-01,토픽7,상생협력·중소기업 지원,"중기부, 중기 소상공인 지원사업 설명회 개최",2023-01-08,https://view.asiae.co.kr/article/2023010810480331620
2023-01,토픽7,상생협력·중소기업 지원,"방통위, 방송광고 제작 송출비 지원 사업 공모 실시",2023-01-26,https://view.asiae.co.kr/article/2023012614205842990
2023-01,토픽7,상생협력·중소기업 지원,"부산시 부경대 네이버 협력, 소상공인 디지털 전환 지원 가시적 성과",2023-01-02,https://view.asiae.co.kr/article/2023010210332640167
2023-01,토픽7,상생협력·중소기업 지원,"강원도, '온라인 마케터' 길러 소상공인 경쟁력↑",2023-01-30,https://view.asiae.co.kr/article/2023013007474165578
2023-02,토픽0,정치권 재난·위기 재정대응,"[전문]박홍근, 교섭단체 대표연설 ""문제는 尹 대통령""",2023-02-13,https://view.asiae.co.kr/article/2023021310102320337
2023-02,토픽0,정치권 재난·위기 재정대응,"""독과점 횡포"" 정치권 집중 포화에 은행권 '난색'",2023-02-18,https://view.asiae.co.kr/article/2023021710391885468
2023-02,토픽0,정치권 재난·위기 재정대응,"尹 ""은행 고금리로 고통"" '은행 돈잔치' 대책 지시",2023-02-13,https://view.asiae.co.kr/article/2023021312451210790
2023-02,토픽0,정치권 재난·위기 재정대응,"""은행은 공공재"" 법안 나왔다 10조 환원에도 '사회적 책임' 강조",2023-02-17,https://view.asiae.co.kr/article/2023021616270966404
2023-02,토픽0,정치권 재난·위기 재정대응,"공정위 ""대리점법 위반 '자진시정'시 과징금 최대 70% 감면""",2023-02-06,https://view.asiae.co.kr/article/2023020609402636071
2023-02,토픽1,은행·금융권 소상공인 지원,"수협銀, 담보여력 부족 기업대출 1년간 만기 연장 지원",2023-02-15,https://view.asiae.co.kr/article/2023021509283061592
2023-02,토픽1,은행·금융권 소상공인 지원,경기도 안좋은데 기업 높은 대출금리 ‘이중고’,2023-02-25,https://view.asiae.co.kr/article/2023022416173685452
2023-02,토픽1,은행·금융권 소상공인 지원,개인사업자 대출 키우는 인뱅 토스뱅크 1년새 1.5조원,2023-02-20,https://view.asiae.co.kr/article/2023022009055205719
2023-02,토픽1,은행·금융권 소상공인 지원,"하나銀, 모바일 인터넷뱅킹 이체 수수료 면제",2023-02-03,https://view.asiae.co.kr/article/2023020308432236473
2023-02,토픽1,은행·금융권 소상공인 지원,"수원시, 소상공인에 최대 5천만원 특례보증",2023-02-14,https://view.asiae.co.kr/article/2023021408350431415
2023-02,토픽2,코로나 방역·지자체 행정,"용인시, 각종 행정규제 수술대 올린다",2023-02-12,https://view.asiae.co.kr/article/2023021210390331453
2023-02,토픽2,코로나 방역·지자체 행정,광주 서구 ‘혁신부서’ 지정 운영 조직문화 방식 개선,2023-02-20,https://view.asiae.co.kr/article/2023022014471408132
2023-02,토픽2,코로나 방역·지자체 행정,지난해 재정적자 110조원 넘을듯 재정준칙 '하세월',2023-02-16,https://view.asiae.co.kr/article/2023021609593318577
2023-02,토픽2,코로나 방역·지자체 행정,"이재준 수원시장 ""양질의 기업 유치로 일자리 창출""",2023-02-12,https://view.asiae.co.kr/article/2023021210322919839
2023-02,토픽2,코로나 방역·지자체 행정,"구미시, 대한민국 경제 중심지로!  첨단산업 중심도시 전환",2023-02-19,https://view.asiae.co.kr/article/2023021914120231172
2023-02,토픽3,최저임금·노사 협상,"중기부 ""자동차 수리업, 생계형 적합업종 지정 않기로 결정""",2023-02-10,https://view.asiae.co.kr/article/2023021017140689477
2023-02,토픽3,최저임금·노사 협상,이태원상권 활성화 비법 뭘까?,2023-02-03,https://view.asiae.co.kr/article/2023020314473835786
2023-02,토픽3,최저임금·노사 협상,[포토] 이태원 상인들과 만난 이영 장관,2023-02-03,https://view.asiae.co.kr/article/2023020310492190382
2023-02,토픽3,최저임금·노사 협상,[포토] 이태원 상인들과 간담회 하는 이영 장관,2023-02-03,https://view.asiae.co.kr/article/2023020310483484532
2023-02,토픽3,최저임금·노사 협상,"이필형 동대문구청장, 1일강사로 직원특강",2023-02-14,https://view.asiae.co.kr/article/2023021422015957174
2023-02,토픽4,지역화폐·소비쿠폰,남해군 ‘어업인수당 지원사업’ 신청 접수 받아,2023-02-15,https://view.asiae.co.kr/article/2023021508583684777
2023-02,토픽4,지역화폐·소비쿠폰,정읍시 ‘2월 워크온 챌린지’ 운영 1만원 쿠폰 지급,2023-02-13,https://view.asiae.co.kr/article/2023021313254158405
2023-02,토픽4,지역화폐·소비쿠폰,남해군 ‘특색있는 골목상권 만들기 지원’,2023-02-27,https://view.asiae.co.kr/article/2023022709020542400
2023-02,토픽4,지역화폐·소비쿠폰,"강진군, 강진사랑상품권 365일 10％ 할인",2023-02-01,https://view.asiae.co.kr/article/2023020111024266615
2023-02,토픽4,지역화폐·소비쿠폰,카드형 여수사랑상품권 ‘섬섬여수페이’ 10% 할인,2023-02-15,https://view.asiae.co.kr/article/2023021515434900769
2023-02,토픽5,물가·민생 거시대책,"서울시, 4등급 경유차?비도로용 건설기계까지 조기폐차 지원 확대",2023-02-19,https://view.asiae.co.kr/article/2023021819565271988
2023-02,토픽5,물가·민생 거시대책,"경기도, 노후 경유차 건설기계 등 저공해 조치에 1117억 지원",2023-02-13,https://view.asiae.co.kr/article/2023021307104963699
2023-02,토픽5,물가·민생 거시대책,"대전시, 자연재해 대비 ‘풍수해보험료’ 지원",2023-02-09,https://view.asiae.co.kr/article/2023020909293498744
2023-02,토픽5,물가·민생 거시대책,"동작구, 색다른 난방비 대책 내용 무엇?",2023-02-09,https://view.asiae.co.kr/article/2023020908064944677
2023-02,토픽5,물가·민생 거시대책,가스사용량 3% 줄이면 난방비 돌려준다,2023-02-15,https://view.asiae.co.kr/article/2023021510494035558
2023-02,토픽6,온라인 플랫폼·디지털 지원,"통신3사, ‘RCS 이미지 템플릿’ 메시지 출시",2023-02-07,https://view.asiae.co.kr/article/2023020710465451549
2023-02,토픽6,온라인 플랫폼·디지털 지원,"6000원 음식, 배달앱으로 주문하니 6700원 메뉴 절반이 더 비싸",2023-02-21,https://view.asiae.co.kr/article/2023022107462060751
2023-02,토픽6,온라인 플랫폼·디지털 지원,"카카오모빌리티, 카페24 입점 사업자에 당일배송 서비스 지원",2023-02-02,https://view.asiae.co.kr/article/2023020208505204007
2023-02,토픽6,온라인 플랫폼·디지털 지원,"먼키, 무료배달 서비스 전 지점서 제공 ""배달비 불만 해소""",2023-02-26,https://view.asiae.co.kr/article/2023022614301712657
2023-02,토픽6,온라인 플랫폼·디지털 지원,중고거래 '당근마켓' 동네가게 갈 때도 찾는 까닭,2023-02-21,https://view.asiae.co.kr/article/2023022108354762330
2023-02,토픽7,상생협력·중소기업 지원,"한국경영기술지도사회, 2023년 ‘경영지도사 및 기술지도사 양성과정’ 시행",2023-02-10,https://view.asiae.co.kr/article/2023021008351556300
2023-02,토픽7,상생협력·중소기업 지원,"부경대, ‘제 3회 교육혁신성과 포럼’ 개최",2023-02-21,https://view.asiae.co.kr/article/2023022115440045905
2023-02,토픽7,상생협력·중소기업 지원,"""작년 39대 1의 경쟁률"" '강한소상공인' 지원 사업 개시",2023-02-22,https://view.asiae.co.kr/article/2023022208233304530
2023-02,토픽7,상생협력·중소기업 지원,"쿠팡, 중기부 장관 표창 수상 “상생우수기업 인정”",2023-02-15,https://view.asiae.co.kr/article/2023021508504737848
2023-02,토픽7,상생협력·중소기업 지원,"SK스토아, 중소벤처기업부 장관 표창 수상",2023-02-03,https://view.asiae.co.kr/article/2023020309054048299
2023-03,토픽0,정치권 재난·위기 재정대응,분기당 25만원 지급 '청년기본소득' 2일부터 접수,2023-03-01,https://view.asiae.co.kr/article/2023030110163071654
2023-03,토픽0,정치권 재난·위기 재정대응,"김동연 ""경기도 지역화폐 국비 844억 줄어 총체적 난국""",2023-03-08,https://view.asiae.co.kr/article/2023030813334457802
2023-03,토픽0,정치권 재난·위기 재정대응,"[선거를 바꾸자]⑩기득권 내려놓은 민주당 광주시당 ""응답하라 여의도""",2023-03-20,https://view.asiae.co.kr/article/2023031616293412187
2023-03,토픽0,정치권 재난·위기 재정대응,"尹, '조세불복 절차' 안내 지시 ""포상 인사에 반영""(종합)",2023-03-03,https://view.asiae.co.kr/article/2023030316584127209
2023-03,토픽0,정치권 재난·위기 재정대응,"""또 다른 노무현을 외면 말라"" 민주당 경북도당의 호소",2023-03-22,https://view.asiae.co.kr/article/2023032215190295526
2023-03,토픽1,은행·금융권 소상공인 지원,"신한銀, 가계대출 금리 인하 1000억원 이자 절감",2023-03-24,https://view.asiae.co.kr/article/2023032409494998936
2023-03,토픽1,은행·금융권 소상공인 지원,"신한銀, 주담대 고객 5900명 이자유예 기한연장 지원",2023-03-28,https://view.asiae.co.kr/article/2023032809490834563
2023-03,토픽1,은행·금융권 소상공인 지원,"영양군, 소상공인 특례보증 긴급지원 업무협약 체결",2023-03-27,https://view.asiae.co.kr/article/2023032712202690775
2023-03,토픽1,은행·금융권 소상공인 지원,"KB국민은행, 소상공인 중소기업 신용보증에 560억원 특별출연",2023-03-30,https://view.asiae.co.kr/article/2023033016413396280
2023-03,토픽1,은행·금융권 소상공인 지원,"경남은행, 중 소상공인과 취약계층을 위해 ‘금융지원’ 시행",2023-03-14,https://view.asiae.co.kr/article/2023031410124745970
