기준월,토픽ID,토픽명,비중(%),문서수
2026-06,토픽4,지역화폐·소비쿠폰,11.7,261
2026-06,토픽5,물가·민생 거시대책,10.0,261
2026-06,토픽6,온라인 플랫폼·디지털 지원,11.1,261
2026-06,토픽7,상생협력·중소기업 지원,20.3,261
2026-07,토픽0,정치권 재난·위기 재정대응,6.0,235
2026-07,토픽1,은행·금융권 소상공인 지원,12.9,235
2026-07,토픽2,코로나 방역·지자체 행정,16.3,235
2026-07,토픽3,최저임금·노사 협상,14.3,235
2026-07,토픽4,지역화폐·소비쿠폰,13.1,235
2026-07,토픽5,물가·민생 거시대책,10.6,235
2026-07,토픽6,온라인 플랫폼·디지털 지원,10.6,235
2026-07,토픽7,상생협력·중소기업 지원,16.1,235
2026-08,토픽0,정치권 재난·위기 재정대응,8.4,138
2026-08,토픽1,은행·금융권 소상공인 지원,10.3,138
2026-08,토픽2,코로나 방역·지자체 행정,12.2,138
2026-08,토픽3,최저임금·노사 협상,8.8,138
2026-08,토픽4,지역화폐·소비쿠폰,17.0,138
2026-08,토픽5,물가·민생 거시대책,10.5,138
2026-08,토픽6,온라인 플랫폼·디지털 지원,14.4,138
2026-08,토픽7,상생협력·중소기업 지원,18.3,138
